id,num_contrato,num_estimacion,tipoEstimacion,id_deducion,porcentaje1,importe_deducion,id,nombre_deduccion,porcentaje,fecha,fecha_modificacion
156,SIDUR-ED-16-005.51,1,1,11,0.03,161.35,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
169,SIDUR-ED-16-005.51,2,1,15,0.2,4554.81,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
170,SIDUR-ED-16-005.51,2,1,14,0.2,4554.81,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
171,SIDUR-ED-16-005.51,2,1,13,0.03,683.22,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
172,SIDUR-ED-16-005.51,2,1,12,0.03,683.22,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
173,SIDUR-ED-16-005.51,2,1,11,0.03,683.22,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
174,SIDUR-ED-16-005.51,3,1,15,0.2,2797.73,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
175,SIDUR-ED-16-005.51,3,1,14,0.2,2797.73,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
176,SIDUR-ED-16-005.51,3,1,13,0.03,419.66,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
177,SIDUR-ED-16-005.51,3,1,12,0.03,419.66,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
178,SIDUR-ED-16-005.51,3,1,11,0.03,419.66,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
179,SIDUR-ED-16-002.45,1,1,15,0.2,7075.31,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
180,SIDUR-ED-16-002.45,1,1,14,0.2,7075.31,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
181,SIDUR-ED-16-002.45,1,1,13,0.03,1061.3,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
182,SIDUR-ED-16-002.45,1,1,12,0.03,1061.3,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
183,SIDUR-ED-16-002.45,1,1,11,0.03,1061.3,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
184,SIDUR-ED-16-002.45,2,1,15,0.2,4835.44,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
185,SIDUR-ED-16-002.45,2,1,14,0.2,4835.44,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
186,SIDUR-ED-16-002.45,2,1,13,0.03,725.32,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
187,SIDUR-ED-16-002.45,2,1,12,0.03,725.32,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
188,SIDUR-ED-16-002.45,2,1,11,0.03,725.32,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
189,SIDUR-ED-16-002.45,3,1,15,0.2,2814.53,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
190,SIDUR-ED-16-002.45,3,1,14,0.2,2814.53,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
191,SIDUR-ED-16-002.45,3,1,13,0.03,422.18,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
192,SIDUR-ED-16-002.45,3,1,12,0.03,422.18,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
193,SIDUR-ED-16-002.45,3,1,11,0.03,422.18,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
202,SIDUR-ED-16-093.92,1,1,14,0.2,608.48,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
203,SIDUR-ED-16-093.92,1,1,13,0.03,91.27,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
