Prog_Id,num_contrato,Prog_Del,Prog_Al,Prog_Monto
2485,SIDUR-ED-16-287.286,20160826,20160914,68031.55
2486,SIDUR-ED-16-287.286,20160915,20161024,67301.34
2487,SIDUR-ED-16-288.279,20160826,20160914,81787.47
2488,SIDUR-ED-16-288.279,20160915,20161024,86498.53
2489,SIDUR-ED-16-269.289,20160804,20160817,24090.98
2490,SIDUR-ED-16-269.289,20160818,20160831,54535.66
2491,SIDUR-ED-16-269.289,20160901,20160913,24988.99
2492,SIDUR-ED-16-269.289,20160914,20160927,29601.6
2493,SIDUR-ED-16-269.289,20160928,20161002,2435.39
2494,SIDUR-ED-16-271.261,20160804,20160811,14689.75
2495,SIDUR-ED-16-271.261,20160812,20160818,29359.8
2496,SIDUR-ED-16-271.261,20160819,20160831,24469.62
2497,SIDUR-ED-16-271.261,20160901,20160921,20224.89
2498,SIDUR-ED-16-271.261,20160922,20161002,1259.44
2499,SIDUR-ED-16-279.310,20160815,20160822,45581.74
2500,SIDUR-ED-16-279.310,20160823,20160830,45581.74
2501,SIDUR-ED-16-279.310,20160831,20160906,36317.09
2502,SIDUR-ED-16-279.310,20160907,20160914,36317.09
2503,SIDUR-ED-16-279.310,20160915,20160922,36317.09
2504,SIDUR-ED-16-279.310,20160923,20160930,53448.14
2505,SIDUR-ED-16-279.310,20161001,20161005,17131.05
2506,SIDUR-ED-16-279.310,20161006,20161013,14810.46
2507,SIDUR-ED-16-281.324,20160815,20160822,27555.56
2508,SIDUR-ED-16-281.324,20160823,20160830,27555.56
2509,SIDUR-ED-16-281.324,20160831,20160905,24040.34
2510,SIDUR-ED-16-281.324,20160906,20160914,24040.34
2511,SIDUR-ED-16-281.324,20160915,20160922,24040.34
2512,SIDUR-ED-16-281.324,20160923,20160928,32220.43
2513,SIDUR-ED-16-281.324,20160929,20161003,8180.1
2514,SIDUR-ED-16-281.324,20161004,20161013,16650.12
2515,SIDUR-ED-16-280.342,20160815,20160822,24785.17
2516,SIDUR-ED-16-280.342,20160823,20160828,24785.17
2517,SIDUR-ED-16-280.342,20160829,20160902,20375.78
2518,SIDUR-ED-16-280.342,20160903,20160908,20375.78
2519,SIDUR-ED-16-280.342,20160909,20160915,20375.78
2520,SIDUR-ED-16-280.342,20160916,20160923,27308.95
2521,SIDUR-ED-16-280.342,20160924,20160930,6933.17
2522,SIDUR-ED-16-280.342,20161001,20161013,14112.05
2523,SIDUR-ED-16-278.308,20160815,20160823,27016.71
2524,SIDUR-ED-16-278.308,20160824,20160831,27016.71
2525,SIDUR-ED-16-278.308,20160901,20160908,26728.06
2526,SIDUR-ED-16-278.308,20160909,20160916,26728.06
2527,SIDUR-ED-16-278.308,20160917,20160922,26728.06
2528,SIDUR-ED-16-278.308,20160923,20160927,33670.2
2529,SIDUR-ED-16-278.308,20160928,20161003,6942.14
2530,SIDUR-ED-16-278.308,20161004,20161013,14130.32
2531,SIDUR-ED-16-205.303,20160615,20160630,46421.91
2532,SIDUR-ED-16-205.303,20160701,20160731,134977.86
2533,SIDUR-ED-16-205.303,20160801,20160813,2660.55
2534,SIDUR-ED-16-282.301,20160901,20160930,445341.56
2535,SIDUR-ED-16-282.301,20161001,20161031,571242.3
2536,SIDUR-ED-16-282.301,20161101,20161130,528764.42
2538,SIDUR-ED-16-220.294,20160627,20160627,80014.42
2539,SIDUR-ED-16-220.294,20160628,20160728,91316.88
2540,SIDUR-ED-16-220.294,20160729,20160909,117126.24
2545,SIDUR-ED-16-243.335,20160727,20160731,1409.41
2546,SIDUR-ED-16-243.335,20160801,20160815,116981.08
2547,SIDUR-ED-16-243.335,20160816,20160831,222686.87
2548,SIDUR-ED-16-243.335,20160901,20160930,178713.27
2549,SIDUR-ED-16-243.335,20161001,20161123,43973.6
2550,SIDUR-ED-16-282.301,20161201,20161214,247272.4
2551,SIDUR-ED-16-223.437,20160628,20160730,136744.04
2552,SIDUR-ED-16-223.437,20160731,20160826,155281.61
2553,SIDUR-PF-16-305.419,20161015,20161031,168380.85
2554,SIDUR-PF-16-305.419,20161101,20161130,190289.45
2555,SIDUR-PF-16-305.419,20161201,20161231,1528796.65
2556,SIDUR-PF-16-305.419,20170101,20170112,350399.02
2557,SIDUR-ED-16-366.451,20161104,20161130,197704.4
2558,SIDUR-ED-16-366.451,20161201,20161231,217474.84
2559,SIDUR-ED-16-366.451,20170101,20170131,217474.84
2560,SIDUR-ED-16-366.451,20170201,20170228,197704.4
2561,SIDUR-ED-16-366.451,20170301,20170303,19776.88
