id,id_adjudicacion,id_partida,importe,importe_iva,total
314,469,1564,530769.96,84923.19,615693.15
315,470,1570,145745.60,23319.30,169064.90
316,471,1572,140140.00,22422.40,162562.40
317,472,1571,128928.80,20628.61,149557.41
318,473,1573,172979.16,27676.67,200655.83
319,474,1574,805920.50,128947.28,934867.78
320,475,1525,862036.20,137925.79,999961.99
321,476,1524,568943.89,91031.02,659974.91
322,476,1525,293092.31,46894.77,339987.08
323,477,1558,224096.60,35855.46,259952.06
324,478,1528,362766.71,58042.67,420809.38
325,479,1037,307379.04,49180.65,356559.69
326,480,1092,488931.01,78228.96,567159.97
327,481,1547,805592.64,128894.82,934487.46
328,482,1580,245669.89,39307.18,284977.07
329,483,1531,8620689.66,1379310.35,10000000.01
330,484,1499,1162178.10,185948.50,1348126.60
331,485,1499,778659.33,124585.49,903244.82
332,485,1500,383518.77,61363.00,444881.77
333,486,1527,181034.48,28965.52,210000.00
334,487,1626,60220.42,9635.27,69855.69
335,488,1611,215371.90,34459.50,249831.40
336,489,1637,224213.12,35874.10,260087.22
337,489,1638,339591.87,54334.70,393926.57
338,490,1612,229087.07,36653.93,265741.00
339,491,1687,262691.30,42030.61,304721.91
340,492,1688,105104.92,16816.79,121921.71
341,493,1689,164655.17,26344.83,191000.00
342,494,1692,331691.08,53070.57,384761.65
343,494,1693,186659.83,29865.57,216525.40
344,495,1657,298922.65,47827.62,346750.27
345,496,1651,298922.65,47827.62,346750.27
346,497,1653,337294.01,53967.04,391261.05
347,498,1699,798942.56,127830.81,926773.37
348,499,1700,834310.39,133489.66,967800.05
349,500,1657,163793.10,26206.90,190000.00
350,501,1731,767669.93,122827.19,890497.12
351,502,1690,258335.60,41333.70,299669.30
352,503,1582,765089.46,122414.31,887503.77
353,504,1581,494921.95,79187.51,574109.46
354,505,1686,107812.80,17250.05,125062.85
355,506,1740,77521.35,12403.42,89924.77
356,507,1732,756504.22,121040.68,877544.90
357,508,1691,211079.32,33772.69,244852.01
358,509,1738,294882.09,47181.13,342063.22
359,510,1750,272225.00,43556.00,315781.00
360,511,1749,272157.60,43545.22,315702.82
361,512,1685,180505.77,28880.92,209386.69
362,513,1752,319735.50,51157.68,370893.18
363,514,1757,233478.80,37356.61,270835.41
364,515,1753,331222.39,52995.58,384217.97
365,516,1755,304719.83,48755.17,353475.00
366,517,1761,218998.90,35039.82,254038.72
367,518,1759,129231.45,20677.03,149908.48
368,519,1756,236552.11,37848.34,274400.45
369,520,1754,236552.11,37848.34,274400.45
370,521,1764,256594.30,41055.09,297649.39
